"Channel_nr","Elow(keV)","Ehigh(keV)","gf(H)*dE(H)/(gf(e)*dE(e))"
0,4.09,4.57,0.6
1,4.37,4.79,0.61
2,4.56,4.97,0.63
3,4.83,5.31,0.68
4,5.17,5.55,0.76
5,5.4,5.78,0.81
6,5.65,6.03,1.06
7,5.96,6.48,1.32
8,6.42,6.78,1.35
9,6.7,7.07,1.35
10,7.05,9.06,1.35
11,9.06,9.81,1.34
12,9.81,10.25,1.34
13,10.25,10.69,1.35
14,10.69,11.71,1.38
15,11.71,12.21,1.36
16,12.21,12.73,1.32
17,12.73,13.87,1.32
18,13.87,14.45,1.28
19,14.45,15.09,1.26
20,15.09,16.43,1.15
21,16.43,17.19,1.15
22,17.19,18.72,1.15
23,18.72,19.5,1.15
24,19.5,20.4,1.16
25,20.4,22.32,1.16
26,22.32,23.34,1.16
27,23.34,24.32,1.17
28,24.32,26.54,1.17
29,26.54,27.65,1.16
30,27.65,28.83,1.18
31,28.83,31.35,1.17
32,31.35,32.77,1.17
33,32.77,35.88,1.16
34,35.88,37.4,1.17
35,37.4,38.92,1.15
36,38.92,42.55,1.16
37,42.55,44.6,1.17
38,44.6,46.65,1.18
39,46.65,50.7,1.17
40,50.7,53.04,1.17
41,53.04,55.34,1.17
42,55.34,60.21,1.18
43,60.21,62.73,1.18
44,62.73,68.55,1.19
45,68.55,71.66,1.18
46,71.66,74.84,1.19
47,74.84,81.36,1.2
